operator,accuracy
add,0.98
add,0.94
add,0.9
add,1.0
add,1.0
add,1.0
add,0.86
add,0.9
add,0.96
add,1.0
add,0.92
add,0.98
add,0.98
add,0.96
add,1.0
add,1.0
add,0.9
add,0.98
add,0.96
add,0.98
add,0.98
add,0.88
add,0.98
add,0.94
add,0.94
add,0.98
add,0.98
add,0.98
add,0.96
add,0.98
subtract,0.95
subtract,1.0
subtract,0.95
subtract,0.975
subtract,0.975
subtract,0.925
subtract,0.925
subtract,1.0
subtract,0.95
subtract,0.95
subtract,1.0
subtract,0.975
subtract,0.95
subtract,1.0
subtract,0.9
subtract,0.775
subtract,0.875
subtract,0.95
subtract,0.9
subtract,0.925
subtract,0.65
subtract,1.0
subtract,0.925
subtract,0.95
subtract,0.95
subtract,0.975
subtract,0.925
subtract,1.0
subtract,1.0
subtract,0.975
multiply,0.8888888888888888
multiply,0.7111111111111111
multiply,0.8666666666666667
multiply,0.9777777777777777
multiply,0.9777777777777777
multiply,0.7777777777777778
multiply,0.8
multiply,0.8888888888888888
multiply,0.8888888888888888
multiply,1.0
multiply,0.8
multiply,0.8444444444444444
multiply,0.9777777777777777
multiply,0.9555555555555556
multiply,0.4666666666666667
multiply,0.9333333333333333
multiply,0.8222222222222222
multiply,0.8222222222222222
multiply,0.8666666666666667
multiply,0.8444444444444444
multiply,0.9333333333333333
multiply,0.9333333333333333
multiply,0.8444444444444444
multiply,0.9333333333333333
multiply,0.9777777777777777
multiply,0.8888888888888888
multiply,0.9333333333333333
multiply,0.8444444444444444
multiply,0.7777777777777778
multiply,0.9555555555555556
multiply,1.0
multiply,0.9111111111111111
multiply,0.9111111111111111
divide,1.0
divide,0.925
divide,0.45
divide,0.95
divide,0.975
divide,0.95
divide,1.0
divide,1.0
divide,1.0
divide,0.925
divide,0.95
divide,1.0
divide,0.875
divide,1.0
divide,0.975
divide,0.95
divide,0.975
divide,0.95
divide,0.975
divide,1.0
divide,1.0
divide,0.975
divide,0.975
divide,1.0
divide,0.975
divide,0.5
divide,1.0
divide,0.575
divide,0.925
divide,1.0
modulo,0.975
modulo,0.925
modulo,0.925
modulo,0.975
modulo,0.925
modulo,0.8
modulo,0.775
modulo,0.925
modulo,1.0
modulo,0.975
modulo,0.95
modulo,1.0
modulo,0.975
modulo,0.975
modulo,0.95
modulo,0.925
modulo,0.85
modulo,0.95
modulo,0.875
modulo,0.975
modulo,0.95
modulo,0.975
modulo,0.525
modulo,0.875
modulo,0.9
modulo,0.9
modulo,0.95
modulo,0.95
modulo,1.0
modulo,0.725
