carries,accuracy
0,1.0
1,1.0
2,1.0
3,0.9
0,0.9
1,1.0
2,0.9
3,0.9
0,0.9
1,1.0
2,0.9
3,0.9
0,0.9
1,1.0
2,1.0
3,1.0
0,1.0
1,0.8
2,0.9
3,1.0
0,0.9
1,0.9
2,0.8
3,0.6
0,0.8
1,1.0
2,0.5
3,0.8
0,0.8
1,0.9
2,1.0
3,1.0
0,1.0
1,1.0
2,1.0
3,1.0
0,0.9
1,1.0
2,1.0
3,1.0
0,0.8
1,1.0
2,1.0
3,1.0
0,1.0
1,1.0
2,1.0
3,1.0
0,1.0
1,1.0
2,1.0
3,0.9
0,0.9
1,1.0
2,1.0
3,1.0
0,1.0
1,0.9
2,1.0
3,0.9
0,0.8
1,0.9
2,1.0
3,1.0
0,1.0
1,0.8
2,0.9
3,0.7
0,0.9
1,0.9
2,1.0
3,1.0
0,0.9
1,0.8
2,1.0
3,0.8
0,1.0
1,1.0
2,0.9
3,1.0
0,0.9
1,1.0
2,0.9
3,1.0
0,0.9
1,1.0
2,1.0
3,1.0
0,0.3
1,0.6
2,0.8
3,0.4
0,0.7
1,1.0
2,0.9
3,0.9
0,0.9
1,1.0
2,0.7
3,1.0
0,1.0
1,0.9
2,0.8
3,0.9
0,1.0
1,1.0
2,0.8
3,1.0
0,0.9
1,0.9
2,1.0
3,1.0
0,1.0
1,1.0
2,1.0
3,1.0
0,0.7
1,0.6
2,0.9
3,0.7
