carries,accuracy
0,1.0
1,0.8
2,1.0
3,1.0
4,1.0
5,0.6
6,0.6
8,1.0
12,1.0
0,1.0
1,0.6
2,0.8
3,0.8
4,1.0
5,0.4
6,0.4
8,0.4
12,1.0
0,1.0
1,0.8
2,1.0
3,1.0
4,0.8
5,1.0
6,0.8
8,0.8
12,0.6
0,1.0
1,1.0
2,1.0
3,1.0
4,1.0
5,0.8
6,1.0
8,1.0
12,1.0
0,1.0
1,0.8
2,1.0
3,1.0
4,1.0
5,1.0
6,1.0
8,1.0
12,1.0
0,1.0
1,0.8
2,0.8
3,0.8
4,0.6
5,0.4
6,1.0
8,0.8
12,0.8
0,1.0
1,0.8
2,1.0
3,0.8
4,0.6
5,0.8
6,0.6
8,1.0
12,0.6
0,1.0
1,1.0
2,0.6
3,0.8
4,1.0
5,0.8
6,0.8
8,1.0
12,1.0
0,0.8
1,0.8
2,0.8
3,1.0
4,1.0
5,1.0
6,0.8
8,1.0
12,0.8
0,1.0
1,1.0
2,1.0
3,1.0
4,1.0
5,1.0
6,1.0
8,1.0
12,1.0
0,1.0
1,1.0
2,0.8
3,0.8
4,1.0
5,0.6
6,0.6
8,0.4
12,1.0
0,1.0
1,0.8
2,1.0
3,0.8
4,0.8
5,1.0
6,1.0
8,0.6
12,0.6
0,1.0
1,1.0
2,1.0
3,1.0
4,1.0
5,1.0
6,0.8
8,1.0
12,1.0
0,1.0
1,1.0
2,1.0
3,0.8
4,1.0
5,1.0
6,1.0
8,0.8
12,1.0
0,0.8
1,1.0
2,0.8
3,0.0
4,0.8
5,0.4
6,0.0
8,0.0
12,0.4
0,1.0
1,1.0
2,0.8
3,1.0
4,0.8
5,0.8
6,1.0
8,1.0
12,1.0
0,1.0
1,1.0
2,0.8
3,0.4
4,0.6
5,1.0
6,0.6
8,1.0
12,1.0
0,1.0
1,1.0
2,1.0
3,1.0
4,0.8
5,1.0
6,1.0
8,0.6
12,0.0
0,1.0
1,0.6
2,1.0
3,1.0
4,1.0
5,0.8
6,0.8
8,0.6
12,1.0
0,1.0
1,1.0
2,0.8
3,1.0
4,1.0
5,0.8
6,0.6
8,0.4
12,1.0
0,1.0
1,1.0
2,0.8
3,0.8
4,1.0
5,0.8
6,1.0
8,1.0
12,1.0
0,1.0
1,0.8
2,1.0
3,1.0
4,1.0
5,0.8
6,1.0
8,1.0
12,0.8
0,1.0
1,1.0
2,1.0
3,1.0
4,0.8
5,1.0
6,0.8
8,0.6
12,0.4
0,1.0
1,1.0
2,0.8
3,1.0
4,0.8
5,1.0
6,0.8
8,1.0
12,1.0
0,1.0
1,1.0
2,0.8
3,1.0
4,1.0
5,1.0
6,1.0
8,1.0
12,1.0
0,1.0
1,1.0
2,1.0
3,1.0
4,1.0
5,0.6
6,0.8
8,1.0
12,0.6
0,1.0
1,0.8
2,0.8
3,1.0
4,1.0
5,1.0
6,1.0
8,1.0
12,0.8
0,1.0
1,1.0
2,1.0
3,0.8
4,0.6
5,0.8
6,0.6
8,1.0
12,0.8
0,1.0
1,1.0
2,0.6
3,0.8
4,0.8
5,0.6
6,0.6
8,0.6
12,1.0
0,1.0
1,1.0
2,0.8
3,1.0
4,1.0
5,0.8
6,1.0
8,1.0
12,1.0
0,1.0
1,1.0
2,1.0
3,1.0
4,1.0
5,1.0
6,1.0
8,1.0
12,1.0
0,1.0
1,1.0
2,1.0
3,0.8
4,0.8
5,0.8
6,1.0
8,0.8
12,1.0
0,1.0
1,1.0
2,1.0
3,1.0
4,1.0
5,0.8
6,0.8
8,1.0
12,0.6
