solving_time,carries
44.453,1
41.861999999999995,5
106.868,4
106.448,12
12.289000000000001,0
35.455,8
34.2,3
37.222,6
30.941,3
35.253,12
34.414,2
16.142,2
5.1,0
8.982999999999999,2
20.73,1
10.276,12
22.485,2
5.8,12
22.921999999999997,5
16.980999999999998,1
17.765,4
43.108999999999995,8
20.798000000000002,6
2.909,0
30.493000000000002,4
11.117,6
16.695,3
16.429000000000002,6
22.285999999999998,4
21.421999999999997,5
11.198,6
6.165,12
21.822,2
43.497,8
11.81,1
20.387,5
5.165,0
35.317,8
24.453000000000003,5
12.737,3
10.421,1
50.516999999999996,8
31.158,4
12.003,3
6.058,0
29.64,5
24.752,2
19.44,5
15.385,3
6.36,0
30.266,6
23.973000000000003,2
18.262,5
30.928,12
19.544,2
34.049,4
17.866,1
59.88,5
18.471,3
34.448,5
45.961000000000006,4
17.768,2
17.559,4
25.323,6
28.435,6
29.695999999999998,4
39.218,3
47.187,8
6.362,0
41.425,1
22.432,1
26.248,8
16.085,12
3.032,0
17.495,1
21.648000000000003,2
7.544,12
21.729,8
21.979,1
33.256,8
21.968000000000004,6
18.136,12
35.872,8
23.289,3
5.89,12
12.308,6
70.513,4
1.432,0
3.76,0
18.808,3
50.647,2
52.591,6
41.67100000000001,8
28.783,4
29.351,4
31.629,6
60.327,3
49.063,8
28.078000000000003,2
26.07,2
25.454,5
27.726,0
29.414,6
28.798000000000002,3
22.086,3
32.727,8
20.054000000000002,3
59.207,12
28.701999999999998,8
20.934,6
47.103,12
34.830999999999996,5
23.294,5
24.822,1
42.247,12
5.934,12
20.382,0
18.654,4
20.382,1
28.07,8
20.246,6
33.615,5
18.427,0
18.11,2
18.63,0
4.941,12
26.566,3
17.662,1
22.854,1
42.295,4
6.15,0
24.965999999999998,4
30.63,2
21.878,5
22.03,1
28.263,2
42.303999999999995,0
27.768,4
28.88,5
31.745,1
40.915,6
29.177,4
32.264,8
34.688,2
31.296,5
33.944,1
4.208,0
35.896,8
34.472,6
31.296,3
314.036,12
7.568,12
36.368,5
15.56,3
16.215999999999998,12
8.76,12
34.28,0
8.288,0
3.759,0
34.536,3
31.504,5
44.76,4
25.624000000000002,4
66.737,8
15.689,2
20.552,1
26.088,1
80.657,8
25.864,6
27.72,5
13.717,3
14.888,6
9.248,12
16.672,2
31.857,8
25.554000000000002,6
25.9,4
15.786,1
19.344,2
21.191999999999997,3
168.61,1
20.054000000000002,0
53.446999999999996,6
40.255,5
20.078,1
64.28699999999999,5
254.78799999999998,12
31.919,4
21.798000000000002,0
10.534,12
86.904,2
29.694000000000003,2
26.166,1
22.95,2
54.839,4
21.278000000000002,6
26.15,5
13.23,12
18.974,1
30.750999999999998,1
4.47,12
38.335,2
32.695,8
26.639,6
27.423000000000002,2
11.31,6
7.143,12
21.47,4
12.806,8
12.55,6
18.102,0
5.358,0
38.343,8
21.605999999999998,0
35.830999999999996,8
20.814,3
22.254,3
26.726,4
21.774,3
27.799,4
45.167,5
22.574,3
30.67,8
13.159,3
37.951,5
37.913000000000004,3
42.753,0
22.073,4
21.688000000000002,1
16.947,0
20.016,2
19.859,1
17.744,2
41.273,8
19.480999999999998,8
21.769000000000002,4
24.929000000000002,3
31.826999999999998,0
25.425,5
26.096999999999998,6
28.825,8
34.433,5
30.505,3
23.265,3
113.41,12
71.25,12
21.456,4
6.104,12
27.809,6
20.488000000000003,0
25.825,4
18.793,6
47.545,4
24.889,8
24.281,3
30.421,6
77.186,5
19.221,2
22.08,0
29.488000000000003,1
32.657,8
28.729,6
4.6,12
27.369,1
4.336,12
26.936,5
20.656999999999996,2
22.096,1
31.153000000000002,2
28.873,5
28.805,4
45.776,6
24.059,1
27.276999999999997,3
53.732,8
24.241,3
28.968000000000004,2
27.441999999999997,4
24.051,8
31.958000000000002,6
32.396,12
25.331,5
18.342,6
26.454,5
15.458,3
24.563000000000002,5
8.978,12
31.502,5
13.574000000000002,1
31.691,2
16.297,0
33.071999999999996,5
14.357000000000001,0
11.752,1
16.815,2
16.444000000000003,4
16.009,1
5.837000000000001,0
19.698,4
14.802999999999999,1
13.427999999999999,12
15.562000000000001,2
12.225999999999999,2
21.569000000000003,8
15.690999999999999,3
12.777000000000001,0
25.581,4
6.487,12
23.925,8
4.138,12
14.994000000000002,0
19.254,6
15.69,3
42.497,8
15.572000000000001,6
6.05,3
13.284,0
10.449000000000002,5
23.174,6
28.785,12
20.901999999999997,2
24.584,1
26.369,1
15.854000000000001,3
10.889000000000001,12
25.833000000000002,3
10.282,6
8.703,1
36.654,5
20.27,0
24.303,8
24.838,3
9.676,12
29.105,2
32.871,8
29.543000000000003,5
24.14,2
6.822,0
22.862,1
28.033,8
18.257,3
11.446,5
29.976999999999997,4
32.426,6
23.366,12
27.621,4
23.298000000000002,6
18.259,4
21.381,1
3.6,0
15.538,6
40.147,8
8.0,12
24.715,8
18.027,4
12.749,5
10.777999999999999,2
5.072,2
22.839000000000002,0
21.085,4
100.031,3
120.40700000000001,8
30.71,6
48.461999999999996,5
38.446,3
31.95,4
4.654,0
31.526,2
13.743,3
54.254,6
237.93599999999998,12
31.374000000000002,8
45.446000000000005,4
36.366,8
12.606,2
34.71,0
70.03,8
22.118000000000002,0
54.526,12
32.742,5
21.822,5
20.781999999999996,3
30.285999999999998,6
16.214000000000002,3
20.414,4
14.765999999999998,1
28.206,5
16.774,0
28.252,4
16.692999999999998,1
39.174,6
32.446,6
21.638,1
