solving_time,operator
32.368,add
23.176,add
19.576,add
18.944000000000003,add
13.368,add
15.450999999999999,add
15.682,add
12.4,add
16.224,add
27.511999999999997,add
34.92,add
9.527999999999999,add
10.112,add
6.28,add
5.648,add
4.872,add
6.4879999999999995,add
7.256,add
15.952,add
7.4879999999999995,add
8.04,add
7.4479999999999995,add
5.8420000000000005,add
7.01,add
6.528,add
6.072,add
10.76,add
7.176,add
7.032,add
7.428999999999999,add
19.264,add
9.072000000000001,add
4.712,add
6.897,add
10.392000000000001,add
8.136000000000001,add
6.496,add
8.088,add
8.704,add
12.752,add
8.144,add
8.008,add
7.944,add
7.256,add
5.822,add
4.664,add
5.376,add
5.224,add
12.464,add
5.416,add
5.886,add
18.99,add
17.062,add
8.414,add
6.142,add
3.222,add
5.638,add
6.814,add
3.4139999999999997,add
14.342,add
16.926,add
4.99,add
4.454,add
6.222,add
7.006,add
3.174,add
6.702000000000001,add
2.4619999999999997,add
2.4219999999999997,add
6.462000000000001,add
8.958,add
5.806,add
7.1739999999999995,add
7.854,add
9.39,add
7.222,add
4.91,add
5.2860000000000005,add
8.822000000000001,add
3.3339999999999996,add
7.942,add
6.1739999999999995,add
6.398,add
8.03,add
12.15,add
7.422000000000001,add
2.9339999999999997,add
2.718,add
8.693999999999999,add
2.5180000000000002,add
8.942,add
5.446000000000001,add
7.132999999999999,add
2.965,add
7.631,add
3.918,add
9.158,add
6.3660000000000005,add
11.022,add
4.19,add
15.687999999999999,add
8.96,add
5.584,add
9.296,add
10.6,add
6.736000000000001,add
6.2,add
10.224,add
12.312000000000001,add
9.488,add
6.904,add
2.696,add
14.360999999999999,add
11.776,add
2.8,add
10.2,add
5.392,add
10.04,add
6.4079999999999995,add
2.096,add
7.416,add
3.512,add
2.168,add
3.08,add
6.303999999999999,add
2.456,add
4.144,add
7.303999999999999,add
1.615,add
2.616,add
6.84,add
5.2,add
3.44,add
2.52,add
1.528,add
2.464,add
7.856,add
3.752,add
3.208,add
3.304,add
2.68,add
5.4,add
11.937999999999999,add
1.72,add
3.9760000000000004,add
3.5989999999999998,add
1.4080000000000001,add
5.96,add
1.952,add
8.238999999999999,add
5.015,add
6.144,add
24.92,add
2.616,add
12.88,add
9.696,add
6.4639999999999995,add
6.055,add
5.544,add
3.8,add
3.312,add
7.047999999999999,add
3.4160000000000004,add
4.2,add
3.6060000000000003,add
6.672000000000001,add
2.944,add
6.8,add
2.12,add
4.848,add
5.568,add
2.52,add
2.7439999999999998,add
2.176,add
1.672,add
5.664,add
3.568,add
2.952,add
1.6159999999999999,add
2.6719999999999997,add
6.247999999999999,add
6.224,add
3.7119999999999997,add
5.024,add
9.648,add
7.4479999999999995,add
1.472,add
1.976,add
2.6,add
2.48,add
5.56,add
2.474,add
3.208,add
10.936,add
5.287999999999999,add
1.208,add
8.943999999999999,add
1.784,add
