carries,mean_solving_time
0,3.232
1,4.0973999999999995
2,4.8471
3,4.571888888888889
4,4.8917
0,3.446
1,6.982899999999999
2,6.2661999999999995
3,8.889999999999999
4,12.0864
0,2.4431999999999996
1,3.4891999999999994
2,4.268399999999999
3,4.5616
4,6.525
0,3.3203000000000005
1,4.0115
2,7.091
3,7.642100000000001
4,6.950444444444445
0,2.0686
1,2.8616
2,3.2427000000000006
3,4.246375
4,4.444400000000001
0,2.4635000000000002
1,2.6073
2,3.4514999999999993
3,3.9735555555555555
4,5.014000000000001
0,3.8848999999999996
1,3.877
2,5.599
3,6.016
4,5.6777
0,4.5948
1,5.2782
2,5.7956666666666665
3,7.872333333333334
4,7.0113
